point_index,x_pixel,y_pixel,x_calibrated,y_calibrated
0,39.06842279917193,257.8614240791366,4.966446065571843,0.03376990326599138
1,64.45438743422402,244.66072246890954,11.988288293006171,0.07041226518327749
2,90.85579065467816,232.47545944408455,19.291004209537867,0.10423598387615698
3,129.44245689995734,215.72072278495017,29.964204395238042,0.15074359707886634
4,165.99824597443234,206.58177551633145,40.07565720274347,0.1761113860985259
5,220.83192958614478,205.56633693092937,55.242836414001594,0.17893002932293248
6,256.87999936791874,211.65896844334185,65.21385237695834,0.1620181699764928
7,276.1733324905583,221.81335429736268,70.55045246980843,0.13383173773242654
8,295.4666656131979,230.4445822732804,75.88705256265852,0.10987327032497021
9,327.9607003460645,245.16844176161058,84.87501061377445,0.06900294357107419
10,344.7154370051989,252.27651185942517,89.5094264838811,0.04927244100022778
11,348.2694720541062,252.27651185942517,90.4924843957219,0.04927244100022778
12,352.83894568841555,249.23019610321893,91.75641599666008,0.05772837067344763
