point_index,x_pixel,y_pixel,x_calibrated,y_calibrated
0,45.94671554761936,298.00822495772957,5.435299568843164,1.1808807070841731
1,80.96654709795675,291.25001185152405,15.622014110719991,1.3674271944381766
2,117.82952767725922,287.5637137935938,26.3448715232219,1.4691798239039953
3,155.9212742758718,285.7205647646287,37.42515751614056,1.5200561386369047
4,195.85616990344957,284.49179874531865,49.04158637968432,1.553973681792177
5,241.32051261792262,284.49179874531865,62.26644385510334,1.553973681792177
6,280.6410252358453,287.5637137935938,73.70415842843872,1.4691798239039953
7,320.575920863423,294.3219268997993,85.32058729198246,1.2826333365499933
8,353.7526033847952,302.9232890349699,94.97115896323417,1.0452105344630804
9,366.0402635778961,310.2958851508304,98.5454447674015,0.8417052755314433
