point_index,x_pixel,y_pixel,x_calibrated,y_calibrated
0,38.56070350647089,257.35370478643557,-0.40369502020243264,0.033657114681759505
1,75.11649258094589,238.060371663796,10.231029317676185,0.08710045764059156
2,110.14912377731774,220.7979157119606,20.42264014147652,0.13491818555112545
3,148.22807072989582,209.12037197983665,31.5004779934334,0.16726547207883954
4,183.76842121896874,203.53545976012518,41.83979332192651,0.18273591346165938
5,221.84736817154686,207.0894948090325,52.91763117388339,0.17289108712713766
6,257.8954379533208,213.689845614146,63.404651007069255,0.15460783822016885
7,294.9589463204968,227.39826651707412,74.18707984964061,0.11663493664415663
8,329.48385822416765,242.62984529810538,84.2309861687482,0.07444282378192077
9,348.77719134680723,252.27651185942517,89.84375734707302,0.04772115230250474
10,352.83894568841555,247.70703822511578,91.0253933846151,0.060378786161175535
