point_index,x_pixel,y_pixel,x_calibrated,y_calibrated
0,46.56109855727442,298.62260796738457,5.419870451222394,1.150915783208318
1,81.58093010761178,291.25001185152405,15.587859414897235,1.3552144349623025
2,117.21514466760422,287.5637137935938,25.934234149864633,1.4573637608392938
3,152.84935922759664,286.94933078393876,36.28060888483201,1.4743886484854594
4,189.0979567972441,287.5637137935938,46.80536939109195,1.4573637608392938
5,226.57532038620164,285.7205647646287,57.68690143993695,1.5084384237777895
6,261.59515193653897,288.1780968032489,67.85489040361179,1.440338873193128
7,299.6868985351516,291.8643948611791,78.91480822374936,1.3381895473161367
8,353.13822037514024,305.38082107359,94.43437032620044,0.9636420191004993
9,80.96654709795675,272.2041385522178,15.409473643604699,1.8829859519934269
10,103.08433544553824,186.19051720051198,21.83136141013618,4.266470222456572
11,354.36698639445024,306.60958709290014,94.79114186878549,0.9295922438081679
